{'kernel': 'poly', 'degree': 2, 'gamma': 0.18, 'coef0': 0.28, 'C': 66, 'epsilon': 0.37, 'rsme': 8.553464611926554}
{'kernel': 'sigmoid', 'degree': 4, 'gamma': 0.27, 'coef0': 0.12, 'C': 2, 'epsilon': 0.46, 'rsme': 10.227649484024438}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.17, 'coef0': 0.46, 'C': 20, 'epsilon': 0.2, 'rsme': 7.466893564412716}
{'kernel': 'linear', 'degree': 4, 'gamma': 0.67, 'coef0': 0.22, 'C': 68, 'epsilon': 0.24, 'rsme': 7.968728509841323}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.92, 'coef0': 0.1, 'C': 88, 'epsilon': 0.44, 'rsme': 9.557212359970272}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.54, 'coef0': 0.33, 'C': 78, 'epsilon': 0.26, 'rsme': 7.719663448415052}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.99, 'coef0': 0.17, 'C': 61, 'epsilon': 0.23, 'rsme': 7.423327787328958}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.44, 'coef0': 0.46, 'C': 84, 'epsilon': 0.39, 'rsme': 8.744662399844685}
{'kernel': 'sigmoid', 'degree': 3, 'gamma': 0.59, 'coef0': 0.29, 'C': 97, 'epsilon': 0.29, 'rsme': 4721.8748871881935}
{'kernel': 'poly', 'degree': 4, 'gamma': 0.94, 'coef0': 0.75, 'C': 26, 'epsilon': 0.16, 'rsme': 7.087005546279054}
{'kernel': 'sigmoid', 'degree': 3, 'gamma': 0.71, 'coef0': 0.92, 'C': 80, 'epsilon': 0.4, 'rsme': 7378.463968986581}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.92, 'coef0': 0.36, 'C': 53, 'epsilon': 0.34, 'rsme': 8.646877119817498}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.61, 'coef0': 0.82, 'C': 71, 'epsilon': 0.49, 'rsme': 12.089626034919151}
