,criterion,splitter,max_depth,max_features,rsme
186,friedman_mse,best,3.0,0.24,0.09680811671324968
187,friedman_mse,best,,0.43,0.10100525526832475
188,friedman_mse,random,8.0,0.99,0.09860284305425468
189,mae,best,1.0,0.29,0.09823657912154128
190,mae,random,1.0,0.11,0.09599500017353992
191,mae,best,1.0,0.13,0.09790966278232992
192,friedman_mse,best,2.0,0.7,0.10295932393242511
193,mse,random,1.0,0.52,0.09655564656656697
194,mae,random,6.0,0.84,0.09661283492897273
195,mae,best,7.0,0.27,0.09482027430633719
196,mae,random,5.0,0.43,0.09674532453383478
197,friedman_mse,best,2.0,0.23,0.09805644930849405
198,friedman_mse,best,4.0,0.9,0.10394060540702481
199,mae,best,2.0,0.73,0.10270159391366708
200,mae,random,6.0,0.58,0.11517321980589199
201,mse,best,5.0,0.32,0.09649497705745422
202,friedman_mse,best,8.0,0.45,0.098728710996332
203,mae,random,7.0,0.77,0.14981862773667162
204,friedman_mse,random,,0.84,0.10527101700039904
205,friedman_mse,random,7.0,0.44,0.09694674563799036
206,mae,random,1.0,0.62,0.09519909358998227
207,mse,best,1.0,0.25,0.09686722169894206
208,friedman_mse,best,3.0,0.46,0.09630255508606285
209,friedman_mse,random,4.0,0.42,0.0961174047745989
210,mae,random,6.0,0.5,0.09654205789408193
211,mae,random,1.0,0.75,0.09756732058657497
212,mae,random,2.0,0.89,0.09714723086132986
213,mse,random,,0.71,0.10038621766071741
214,friedman_mse,random,6.0,0.9,0.09589735980244157
215,mae,random,3.0,0.36,0.09551253822960303
216,mse,best,9.0,0.7,0.09573624817664253
217,mse,random,7.0,0.72,0.09691635182633596
218,mse,random,1.0,0.11,0.09694949981319505
219,friedman_mse,random,3.0,0.37,0.09510912035108852
220,mae,random,8.0,0.18,0.09677654943005379
221,friedman_mse,random,,0.57,0.327319343385484
222,friedman_mse,best,8.0,0.59,0.09829880123733303
223,mse,best,,0.15,0.11947327170188748
224,friedman_mse,random,5.0,0.24,0.09701014731731933
225,friedman_mse,random,1.0,0.29,0.09647884711597343
226,mae,random,4.0,0.46,0.09509994113895626
227,mse,best,4.0,0.7,0.11732767986601521
228,friedman_mse,random,,0.63,0.22967866423680705
229,mae,random,3.0,0.59,0.09578546361336966
230,mae,random,6.0,0.71,0.10792003690692747
231,mse,best,5.0,0.93,0.09499389560406002
232,mae,random,5.0,0.9,0.09703498958667013
233,mae,random,1.0,0.38,0.09640589150028037
234,friedman_mse,random,9.0,0.57,0.11009533206760617
235,friedman_mse,best,2.0,0.71,0.09823066157690302
236,friedman_mse,random,4.0,0.55,0.09571766574264824
237,mse,best,1.0,0.16,0.0957342429352286
238,mae,best,7.0,0.7,0.09554571601357907
239,mae,best,3.0,0.96,0.11997876353990382
240,friedman_mse,random,,0.55,0.09792001226668667
241,mse,random,5.0,0.99,0.09644135973927392
242,mae,best,1.0,0.89,0.09856854414475258
243,friedman_mse,best,1.0,0.81,0.10728179256517296
244,mse,best,,0.32,0.165287346343375
245,friedman_mse,random,4.0,0.18,0.09848877640419204
246,mae,best,3.0,0.4,0.09619882216837665
247,mae,random,5.0,0.42,0.09575599045585417
248,mse,best,3.0,0.28,0.09646042984046933
249,mse,best,9.0,0.94,0.16509744345569774
250,mse,best,1.0,0.39,0.10014706736851252
251,mae,random,4.0,0.32,0.09655060818019019
252,mse,best,3.0,0.78,0.10630419708309455
253,friedman_mse,random,,0.93,0.14744746829168512
254,friedman_mse,random,2.0,0.62,0.09472731257286635
255,mae,best,8.0,0.65,0.09700154390821471
256,friedman_mse,random,8.0,0.81,0.09774364950827126
257,mae,random,1.0,0.85,0.09695417412492816
258,mae,random,4.0,0.83,0.09624908095375063
259,friedman_mse,random,6.0,0.49,0.09628561766607063
260,friedman_mse,random,9.0,0.79,0.1042815402139621
261,mse,random,2.0,0.95,0.09648108302870383
262,mae,best,1.0,0.53,0.0949312692627177
263,mae,random,6.0,0.29,0.09641383058784182
264,friedman_mse,best,9.0,0.36,0.0970540741220445
265,mae,random,6.0,0.46,0.09597385791303459
266,friedman_mse,best,5.0,0.99,0.098303620023261
267,friedman_mse,random,4.0,0.46,0.09669861934142265
268,mae,best,7.0,0.24,0.10751680371308518
269,mae,random,6.0,0.91,0.09583659501217796
270,friedman_mse,best,5.0,0.58,0.09670289775777233
271,mae,random,3.0,0.6,0.0960097452327386
272,mae,random,1.0,0.29,0.09604977549565062
273,friedman_mse,best,6.0,0.8,0.09681696335784098
274,mse,random,5.0,0.29,0.09577471484743848
275,friedman_mse,best,5.0,0.42,0.10010777586477711
276,friedman_mse,best,7.0,0.14,0.09862859734948462
277,mae,random,,0.6,0.11231383088287912
278,friedman_mse,best,2.0,0.56,0.10124738361724517
279,mae,random,6.0,0.54,0.09895693244685558
280,friedman_mse,best,7.0,0.42,0.0968460459372771
281,friedman_mse,random,,0.35,0.09662672414353526
282,friedman_mse,random,5.0,0.11,0.09679677276594428
283,mse,best,4.0,0.34,0.09784675566408108
284,friedman_mse,best,3.0,0.5,0.09525513660694915
285,friedman_mse,best,3.0,0.82,0.09545702084118904
286,friedman_mse,best,3.0,0.7,0.09720740293665457
287,mse,random,4.0,0.91,0.09533488978932018
288,mae,best,9.0,0.34,0.09990560556192674
289,mse,random,2.0,0.96,0.09483078526342209
290,mse,random,4.0,0.39,0.09566233621175574
291,mse,best,2.0,0.9,0.09569446205098611
292,mae,best,3.0,0.51,0.09839026780543415
293,mae,best,,0.21,0.13095446423341894
294,mae,random,9.0,0.13,0.0975558240257507
295,mae,best,1.0,0.76,0.09905077822504914
296,mae,best,,0.38,0.1544652504680273
297,mse,best,2.0,0.1,0.09660027389535153
298,mse,best,6.0,0.36,0.09676132303741745
299,friedman_mse,random,4.0,0.98,0.09743963823854741
300,friedman_mse,random,8.0,0.87,0.10046626786099781
301,friedman_mse,best,7.0,0.19,0.09535598374787778
302,mse,random,6.0,0.12,0.09714112244770648
303,mae,best,3.0,0.41,0.10025144586063285
304,mae,random,4.0,0.27,0.10476074898251027
305,mse,random,4.0,0.18,0.09614088342731786
306,friedman_mse,random,5.0,0.31,0.09702914963204576
307,mae,best,8.0,0.13,0.09665230390737539
308,mae,best,6.0,0.34,0.09686555980183377
309,mae,random,1.0,0.36,0.09729341663632937
310,mse,random,,0.99,0.17149840088584567
311,mse,best,2.0,0.16,0.1005431956992247
312,mse,random,7.0,0.61,0.10909185221518372
313,mae,best,,0.12,0.09798513459614513
314,mae,random,2.0,0.93,0.0971656335554834
315,friedman_mse,best,8.0,0.26,0.0972752895196571
316,mse,random,3.0,0.67,0.0970202392187343
317,mae,best,3.0,0.7,0.09761355997490423
318,mse,best,9.0,0.61,0.1041263185272006
319,mse,random,9.0,0.58,0.09827741983953758
320,mse,best,5.0,0.84,0.10403054599920893
321,mae,best,7.0,0.56,0.10852358824828835
322,friedman_mse,random,7.0,0.53,0.09536725208961269
323,friedman_mse,random,7.0,0.25,0.0960104361376923
324,friedman_mse,best,9.0,0.82,0.10149347408811397
325,mae,random,,0.28,0.17470725930771314
326,friedman_mse,best,7.0,0.98,0.09675066453395947
327,mse,random,9.0,0.26,0.09620388505210868
328,mae,best,6.0,0.25,0.0972414214584416
329,friedman_mse,best,6.0,0.58,0.10116500883354283
330,mae,best,6.0,0.48,0.09631595212636562
331,mae,random,9.0,0.1,0.09700058532262461
332,mse,best,7.0,0.89,0.15686831574469443
333,mse,random,4.0,0.75,0.09685844862922162
334,friedman_mse,random,2.0,0.54,0.09705199132481108
335,mae,best,4.0,0.86,0.09539824871853564
336,friedman_mse,best,4.0,0.71,0.09963614016204791
337,mae,random,2.0,0.33,0.09714860600389838
338,friedman_mse,random,8.0,0.24,0.09597422441895706
339,friedman_mse,best,8.0,0.46,0.09841436062135098
340,mae,best,5.0,0.15,0.10027882401107756
341,mse,best,1.0,0.58,0.09500621430801712
342,mse,random,5.0,0.78,0.09715845552090271
343,mse,random,7.0,0.41,0.09873625548351703
344,mse,random,7.0,0.47,0.09846591242322988
345,friedman_mse,best,4.0,0.56,0.09741783974365166
346,friedman_mse,best,,0.46,0.1538202634274352
347,friedman_mse,random,9.0,0.35,0.13814784123888668
348,mse,random,1.0,0.24,0.09671929354782137
349,mse,best,7.0,0.18,0.12912439254289476
350,mae,random,3.0,0.34,0.09671847021610658
351,friedman_mse,best,9.0,0.71,0.11646107193758819
352,mse,random,4.0,0.67,0.09694674694436402
353,mse,best,4.0,0.5,0.12370895131368818
354,mae,best,2.0,0.77,0.0961740886727801
355,mse,best,1.0,0.65,0.09598931484103172
356,friedman_mse,random,2.0,0.7,0.09661037041244483
357,mae,random,4.0,0.46,0.0958567450138445
358,mse,random,3.0,0.75,0.09579365724305353
359,friedman_mse,best,9.0,0.56,0.09628875767666528
360,mae,best,1.0,0.32,0.09912780635978764
361,mse,random,,0.28,0.0995336457522686
362,mae,best,5.0,0.62,0.09855537546111312
363,mae,random,9.0,0.46,0.1725177562528483
364,mse,random,7.0,0.77,0.09660064244359193
365,friedman_mse,best,5.0,0.29,0.09516809812897756
366,mse,best,7.0,0.37,0.09731004340931662
367,mse,best,6.0,0.42,0.09669938457203985
368,mae,best,8.0,0.58,0.0991196623460686
369,friedman_mse,random,8.0,0.66,0.10702398550135954
370,mse,random,5.0,0.29,0.09624350777078908
371,friedman_mse,random,6.0,0.49,0.09639020464611127
372,friedman_mse,best,5.0,0.41,0.09539686448050701
373,friedman_mse,random,,0.45,0.1039761177386618
374,mae,random,8.0,0.35,0.09638622606664686
375,mse,best,7.0,0.11,0.09932430484376231
376,mse,best,6.0,0.51,0.09858927575800155
377,mse,best,2.0,0.79,0.0975953855029396
378,mse,best,4.0,0.28,0.09730391041694206
379,friedman_mse,random,8.0,0.73,0.10217229439548457
380,mse,best,2.0,0.12,0.09559029077823779
381,mse,random,8.0,0.14,0.09526021171503722
382,mse,best,2.0,0.68,0.09511455914728048
383,mae,best,9.0,0.5,0.10050569956555024
384,mse,random,3.0,0.46,0.09642596361856733
385,mae,random,4.0,0.24,0.09454712301619239
386,mae,best,2.0,0.85,0.09727746687052351
387,mse,best,4.0,0.72,0.09674925224142372
388,friedman_mse,best,8.0,0.81,0.0971676821459423
389,mae,random,8.0,0.73,0.09926283345972114
390,mae,best,9.0,0.44,0.10857093994926785
391,mse,random,3.0,0.96,0.13367581758100686
392,mae,random,5.0,0.58,0.0983407243493723
393,friedman_mse,random,4.0,0.58,0.09723286568281143
394,mae,random,8.0,0.44,0.09653746073552096
395,mae,best,,0.34,0.15566479567365007
396,mse,random,,0.49,0.13799658191630026
397,friedman_mse,random,1.0,0.48,0.09641214504387578
398,mae,random,6.0,0.32,0.09675438309655386
399,friedman_mse,best,2.0,0.76,0.14132145721377576
400,friedman_mse,best,5.0,0.78,0.09603839285683054
401,mae,random,6.0,0.11,0.09789974591247697
402,mse,best,6.0,0.34,0.09735652495083921
403,mse,best,5.0,0.35,0.14075229236503933
404,mse,best,5.0,0.68,0.09886756933342979
405,friedman_mse,best,8.0,0.78,0.09877260873366175
406,mse,best,8.0,0.26,0.09887139991104064
407,mae,best,9.0,0.43,0.10968161651997173
408,friedman_mse,random,5.0,0.59,0.10927151871423105
409,friedman_mse,random,1.0,0.84,0.09659032912794518
410,mae,best,9.0,0.73,0.10283516371733221
411,friedman_mse,random,8.0,0.67,0.09592338364539459
412,mse,best,1.0,0.89,0.0959972002277636
413,mse,random,6.0,0.33,0.09558534430192356
414,mse,random,3.0,0.55,0.09629853274861083
415,mse,best,1.0,0.76,0.09694383407717415
416,mae,best,9.0,0.58,0.10145009024275232
