,criterion,max_depth,n_estimators,random_state,rsme
376,mae,9.0,92,51,0.10150616117276554
377,mse,5.0,54,85,0.09790777881271752
378,mse,7.0,52,94,0.1468074445371636
379,mse,,35,96,0.09627093730143595
380,mse,8.0,78,67,0.10912228594799746
381,mse,5.0,81,40,0.09928709775500484
382,mae,2.0,14,34,0.10247825373404071
383,mae,1.0,12,29,0.09973792343917681
384,mae,,47,88,0.12233847574395378
385,mae,7.0,13,78,0.1082960025963485
386,mse,8.0,54,80,0.10788757041123076
387,mae,8.0,85,17,0.09874576676292363
388,mae,5.0,18,72,0.09601691519746144
389,mse,2.0,60,17,0.09789746580336461
390,mse,1.0,96,80,0.09525658205675328
391,mae,4.0,89,53,0.0979569545364212
392,mse,1.0,50,21,0.09541127175704256
393,mse,9.0,90,33,0.09797764940558328
394,mae,4.0,78,34,0.09648938549690209
395,mae,2.0,70,30,0.0951081850741842
396,mse,5.0,56,52,0.09564150040488642
397,mae,8.0,28,42,0.11096289389385573
398,mae,2.0,76,61,0.09722701254802799
399,mse,3.0,79,15,0.09552112354893318
400,mae,7.0,99,14,0.10836795774181207
401,mse,5.0,63,11,0.09802973660209911
402,mse,9.0,69,93,0.09696244220200288
403,mae,5.0,38,51,0.10051876880519389
404,mae,5.0,62,70,0.09649712394398036
405,mae,9.0,85,54,0.10275714788492187
406,mse,5.0,81,66,0.10221169915923263
407,mse,3.0,79,74,0.0990241412619179
408,mae,3.0,18,63,0.11919455103892716
409,mae,4.0,68,17,0.09622863157012523
410,mae,7.0,19,12,0.09897786287428544
411,mae,2.0,35,29,0.09697104894285562
412,mse,4.0,38,59,0.09849807892411303
413,mse,1.0,73,10,0.09666591739338784
414,mae,,46,85,0.1079792816516154
415,mae,9.0,14,38,0.09556741721729306
416,mse,2.0,47,45,0.09531043062933679
417,mae,4.0,27,82,0.09992126744699177
418,mse,7.0,27,37,0.10005415336319594
419,mse,6.0,94,77,0.09805551183756336
420,mse,5.0,65,87,0.11685462032266918
421,mse,7.0,71,82,0.09755984530708568
422,mse,7.0,40,49,0.09678288739656242
423,mse,2.0,25,82,0.09759000524594218
424,mae,8.0,68,25,0.10090702681850121
425,mae,,81,50,0.09535383493240608
426,mae,4.0,52,49,0.09690094361673292
427,mse,,33,47,0.10436081442713739
428,mse,8.0,53,44,0.09640642041554359
429,mse,1.0,67,39,0.09613771282046654
430,mse,3.0,77,83,0.09937648652074887
431,mse,7.0,92,51,0.0969684029862086
432,mse,4.0,39,40,0.09745218364901397
433,mse,,85,45,0.09659021063727974
434,mse,8.0,86,70,0.10123238743022636
435,mse,4.0,55,51,0.09876409660949163
436,mae,3.0,37,56,0.1299204224120527
437,mse,6.0,97,54,0.09751311394266701
438,mae,,89,83,0.10039893105225375
439,mse,5.0,22,45,0.10338933643172103
440,mse,4.0,43,84,0.09571866822880319
441,mae,3.0,51,38,0.09637506008321889
442,mae,7.0,69,74,0.09531527065740193
443,mae,,31,21,0.1236525035258222
444,mse,,35,10,0.10175672536495595
445,mae,3.0,52,33,0.09711616424263847
446,mae,,20,28,0.0992265469922208
447,mse,1.0,70,13,0.10882201809598861
448,mse,,96,16,0.10270057904092468
449,mse,9.0,46,69,0.11921918104195578
450,mse,3.0,26,65,0.10053370104312727
451,mae,8.0,99,70,0.13973216208909411
452,mae,3.0,55,74,0.10305178792957395
453,mse,,55,45,0.0982803628152433
454,mse,7.0,22,15,0.1008015240817703
455,mse,5.0,76,70,0.09585211829242545
456,mae,9.0,66,31,0.09596690484643
457,mae,2.0,99,62,0.09675285367835774
458,mae,3.0,46,96,0.09821626177059457
459,mse,7.0,46,24,0.0964162834612148
460,mae,1.0,50,30,0.09586490151978977
461,mse,8.0,82,77,0.10171475984529513
462,mse,2.0,48,48,0.0966217503575693
463,mse,,62,13,0.20560321504826645
464,mae,,33,20,0.14636653939753747
465,mse,4.0,39,78,0.09627215698799156
466,mse,5.0,91,82,0.09979421840599745
467,mse,6.0,20,24,0.0947689348985318
468,mae,2.0,85,65,0.10856428011321997
469,mae,3.0,93,53,0.09670323953261249
470,mae,2.0,79,77,0.09983311311138261
471,mse,6.0,94,70,0.09623585745703098
472,mae,3.0,48,96,0.10349725584159816
473,mae,3.0,21,92,0.10620992317150216
474,mae,1.0,79,99,0.09699898129129948
475,mae,3.0,52,50,0.09961814102566785
476,mae,8.0,95,81,0.09862558533810034
477,mae,6.0,67,11,0.09584595908513027
478,mse,7.0,11,56,0.09800970481984675
479,mse,6.0,39,93,0.09534375378242667
480,mae,7.0,61,64,0.09963736003300772
481,mse,6.0,98,29,0.10114729236521773
482,mae,5.0,48,41,0.09612888958695065
483,mse,4.0,56,45,0.09730652586161195
484,mae,2.0,79,62,0.09638789812585964
485,mae,5.0,48,33,0.09671005757840681
486,mse,8.0,95,14,0.12257909784339253
487,mae,2.0,13,60,0.09701117178974152
488,mae,2.0,51,74,0.09684907156597346
489,mae,7.0,17,76,0.09870999466261189
490,mae,9.0,43,56,0.09579329881733195
491,mse,7.0,37,78,0.09599713941230656
492,mse,5.0,57,21,0.09725182772231669
493,mae,3.0,55,34,0.09761083134340877
494,mse,,36,64,0.1206851249949717
495,mse,5.0,74,22,0.10028086948423502
496,mse,6.0,46,45,0.1397120044050889
497,mae,6.0,35,22,0.12455408249229923
498,mse,1.0,72,43,0.09698823618292424
499,mae,9.0,90,77,0.09729909077190477
500,mae,7.0,31,85,0.0945416072132128
501,mse,6.0,90,69,0.09769892333273406
502,mae,9.0,80,66,0.09917560701199277
503,mse,6.0,51,17,0.09663649284345681
504,mse,5.0,96,66,0.09916042849686518
505,mae,,67,11,0.10334785957190971
506,mse,2.0,12,14,0.13079427407645564
507,mse,,52,91,0.14390655396294139
508,mse,4.0,26,30,0.10120342128889762
509,mse,3.0,88,26,0.1220647665934006
510,mse,2.0,61,33,0.09588540193936783
511,mse,5.0,71,47,0.0994846608829645
512,mae,4.0,31,74,0.09701824795074561
513,mae,2.0,25,20,0.09727431802660734
514,mse,,95,12,0.10123506533232968
515,mae,8.0,56,71,0.10088099557166491
516,mse,1.0,94,92,0.09689103262487775
517,mse,5.0,50,37,0.0964975495673314
518,mse,6.0,86,53,0.09758165291016124
519,mse,3.0,50,70,0.09658284803409596
520,mse,5.0,17,54,0.1156934689121577
521,mse,9.0,27,19,0.0971634648192435
522,mae,7.0,32,22,0.09917154964614777
523,mse,2.0,85,19,0.09579616762648559
524,mae,9.0,21,87,0.09968586027955657
525,mse,2.0,71,41,0.09657198939324604
526,mse,2.0,15,92,0.10249452199359743
527,mae,1.0,99,88,0.09964115512807563
528,mse,4.0,93,51,0.0980093918858306
529,mae,6.0,43,10,0.09832354089289742
530,mse,6.0,49,48,0.09700739574177279
531,mse,1.0,47,93,0.09499830332718474
532,mae,3.0,75,35,0.0974180534316092
533,mse,8.0,70,28,0.0954537315473229
534,mae,5.0,63,22,0.10528744615955364
535,mae,9.0,15,50,0.09871017725351669
536,mae,,51,40,0.09564254221893459
537,mae,,90,81,0.11862727438786792
538,mae,7.0,42,44,0.0958376673231693
539,mse,2.0,45,78,0.10897044909639164
540,mae,9.0,18,74,0.09867654438841886
541,mae,5.0,59,57,0.09634655323766327
542,mse,4.0,49,53,0.09678719889636515
543,mae,9.0,95,76,0.10112034851633427
544,mse,2.0,38,15,0.09595883289345242
545,mae,8.0,50,86,0.10321423733514867
546,mse,7.0,93,67,0.14787283280309413
547,mae,9.0,90,12,0.09648904152011573
548,mse,3.0,42,72,0.10524293482806389
549,mse,3.0,22,43,0.11565614920199357
550,mae,6.0,12,54,0.0953435072742717
551,mse,7.0,67,12,0.09591370473083083
552,mse,8.0,25,61,0.09568879780155944
553,mae,6.0,10,50,0.09925356761772264
554,mae,3.0,43,44,0.09647882215381136
555,mse,9.0,45,80,0.10056955276224516
556,mse,,97,67,0.09561186893128168
557,mae,3.0,82,10,0.09728696397846928
558,mse,8.0,94,33,0.14559879889783423
559,mae,2.0,44,85,0.09523574161395473
560,mse,8.0,19,42,0.09561048716078396
561,mse,1.0,51,70,0.09524828491891767
562,mse,3.0,64,97,0.10950666811295731
563,mse,4.0,82,79,0.09647246941219638
564,mae,2.0,60,56,0.09803894284171992
