,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,random_state,rsme
199,mae,14.0,0.83,0.85,258,44,0.09617010730813752
200,mse,29.0,0.93,0.14,721,33,0.09491887263785971
201,mse,34.0,0.29,0.55,293,43,0.09601248537425564
202,mse,74.0,0.57,0.73,81,80,0.09621980230301674
203,mse,31.0,0.21,0.14,544,84,0.0955316671162206
204,mse,78.0,0.42,0.13,531,17,0.0952041048616952
205,mae,81.0,0.2,0.94,701,13,0.0949781810048132
206,mae,70.0,0.74,0.83,344,31,0.09741613390226551
207,mae,73.0,0.94,0.25,571,29,0.09640955421406806
208,mae,11.0,0.31,0.58,332,45,0.09706103395232689
209,mse,9.0,0.57,0.52,503,22,0.09679375361398142
210,mse,2.0,0.22,0.18,220,21,0.09520864308196042
211,mse,50.0,0.51,0.22,171,33,0.09637843461559147
212,mae,73.0,0.37,0.46,520,98,0.09720637505964687
213,mse,91.0,0.25,0.54,712,21,0.09645624088204553
214,mae,96.0,0.38,0.43,14,47,0.09709287762204662
215,mae,23.0,0.38,0.49,805,52,0.09670245705701987
216,mae,50.0,0.11,0.61,640,94,0.09616999518600387
217,mse,10.0,0.71,0.43,512,55,0.09581712105492933
218,mse,70.0,0.29,0.97,569,40,0.09597682794876106
219,mse,14.0,0.7,0.15,296,20,0.0956553054832061
220,mse,55.0,0.27,0.62,244,10,0.09666866386442453
221,mse,48.0,0.79,0.22,218,21,0.09626148693449232
222,mae,46.0,0.68,0.71,729,80,0.09649968970827348
223,mse,42.0,0.24,0.43,762,80,0.0950582423274707
224,mae,44.0,0.57,0.7,584,25,0.09686199437604258
225,mae,65.0,0.58,0.32,269,89,0.09728074784632663
226,mae,28.0,0.97,0.13,172,48,0.09577985617346955
227,mae,91.0,0.16,0.98,568,18,0.09544576484397563
228,mse,70.0,0.77,0.57,558,27,0.09629626068945962
229,mae,18.0,0.39,0.59,433,37,0.09650637605087745
230,mae,27.0,0.14,0.91,362,67,0.09677816129488104
231,mae,54.0,0.19,0.68,532,14,0.09649181946562124
232,mae,3.0,0.28,0.24,273,85,0.0972481211512115
233,mse,1.0,0.87,0.2,94,20,0.09578494737270973
234,mse,99.0,0.34,0.44,517,43,0.09656694504925259
235,mse,17.0,0.69,0.7,95,69,0.09639926513157926
236,mae,74.0,0.27,0.21,544,77,0.09709881476148256
237,mse,99.0,0.24,0.42,638,15,0.09586729064338666
238,mse,52.0,0.79,0.41,229,84,0.09664507219807329
239,mse,98.0,0.85,0.65,133,38,0.09582866680172189
240,mae,87.0,0.27,0.73,95,78,0.09612392404147763
241,mae,4.0,0.44,0.17,803,43,0.0952992736892095
242,mse,83.0,0.53,0.31,237,22,0.0953658449956249
243,mae,30.0,0.66,0.48,376,58,0.09700160429061293
244,mse,94.0,0.33,0.92,320,26,0.0962208825208538
245,mse,58.0,0.31,0.84,777,10,0.09626572409052801
246,mse,84.0,0.8,0.36,586,99,0.09515048834081014
247,mae,91.0,0.71,0.42,573,40,0.0956264879618649
248,mae,92.0,0.17,0.61,247,57,0.09556715646121361
249,mae,9.0,0.53,0.18,824,86,0.09747998191925049
250,mse,99.0,0.67,0.89,335,16,0.09715472124234636
251,mae,56.0,0.89,0.51,666,26,0.09586727149948158
252,mse,60.0,0.27,0.56,878,31,0.09667503797179552
253,mse,43.0,0.86,0.52,643,83,0.09611461413933213
254,mse,71.0,0.72,0.98,8,70,0.09608964489708499
255,mse,69.0,0.72,0.5,869,69,0.09526665569355498
256,mae,34.0,0.61,0.13,330,41,0.09795872859111769
257,mse,11.0,0.34,0.74,272,54,0.09713725946216153
258,mse,73.0,0.48,0.91,474,95,0.09585395867474776
259,mse,74.0,0.92,0.52,897,54,0.09502605715637318
260,mae,70.0,0.34,0.81,602,68,0.09660924408935648
261,mse,61.0,0.39,0.53,737,41,0.09661778501154789
262,mae,3.0,0.54,0.72,331,86,0.09591427187682112
263,mse,87.0,0.84,0.58,285,44,0.09635611931931751
264,mae,18.0,0.37,0.72,170,24,0.09702940556965853
265,mse,85.0,0.48,0.28,460,88,0.0959685159859976
266,mae,57.0,0.43,0.74,765,75,0.0973634848563718
267,mae,39.0,0.22,0.96,158,22,0.09592403080873178
268,mse,20.0,0.94,0.52,606,43,0.09650726936145279
269,mae,58.0,0.45,0.88,45,66,0.09425898416687312
270,mae,,0.72,0.19,397,52,0.0964337991281302
271,mae,23.0,0.61,0.52,885,78,0.09554604879517031
272,mse,61.0,0.99,0.75,410,60,0.09631389786885006
273,mse,85.0,0.11,0.97,660,58,0.0961551610105485
274,mse,89.0,0.43,0.5,690,73,0.09522268217018307
275,mae,66.0,0.6,0.44,393,98,0.09699921102098873
276,mse,76.0,0.81,0.76,580,24,0.09608889375773826
277,mae,76.0,0.93,0.29,282,77,0.09652103142626332
278,mae,52.0,0.25,0.59,244,57,0.09511413307165062
279,mse,52.0,0.2,0.64,701,75,0.0955635162729586
280,mae,55.0,0.29,0.96,258,26,0.09610146227346604
281,mse,59.0,0.65,0.92,165,98,0.09654977733674648
282,mse,14.0,0.25,0.65,566,76,0.09684460467293542
283,mae,16.0,0.29,0.86,7,32,0.0972976436549498
284,mse,55.0,0.84,0.66,211,12,0.09726761247744178
285,mse,91.0,0.43,0.23,445,13,0.09587017663030192
286,mae,28.0,0.77,0.62,744,41,0.09594383330589351
287,mse,11.0,0.62,0.29,408,37,0.09564572259433335
288,mse,96.0,0.87,0.58,186,46,0.09553565158524092
289,mse,39.0,0.36,0.42,682,37,0.09515444631723309
290,mse,47.0,0.89,0.33,480,30,0.09580162634820538
291,mae,48.0,0.44,0.98,42,52,0.09648193233658212
292,mae,28.0,0.12,0.28,64,84,0.0963040978887937
293,mae,36.0,0.48,0.15,543,64,0.09614425307179414
294,mae,37.0,0.4,0.3,700,93,0.09651358986710346
295,mae,44.0,0.84,0.3,275,41,0.09729635120118238
296,mse,38.0,0.13,0.42,822,99,0.09674181718725479
297,mse,78.0,0.71,0.85,31,20,0.09499098946350425
298,mse,96.0,0.16,0.87,538,31,0.09605124878514236
299,mse,46.0,0.24,0.77,11,65,0.09739203035636952
300,mse,66.0,0.39,0.14,403,54,0.09586717802685207
301,mae,31.0,0.32,0.57,663,49,0.09515127350203889
302,mse,93.0,0.76,0.22,416,24,0.09609284758523921
303,mae,11.0,0.78,0.28,862,53,0.09727595859135528
304,mse,47.0,0.28,0.8,222,92,0.09621489712060963
305,mae,73.0,0.3,0.9,584,37,0.09583829964406332
306,mse,73.0,0.36,0.37,742,63,0.0954417937160321
307,mse,36.0,0.53,0.29,506,66,0.0952750415827869
308,mae,89.0,0.54,0.61,324,81,0.09784370960344006
309,mae,42.0,0.67,0.15,522,11,0.09704880778173977
310,mae,63.0,0.81,0.61,829,39,0.09608615552154438
311,mse,42.0,0.94,0.24,773,83,0.09675156786416488
312,mse,58.0,0.26,0.15,881,77,0.09485383351921026
313,mse,49.0,0.89,0.77,597,34,0.09471606603080289
314,mse,96.0,0.97,0.87,861,59,0.0970884185040685
315,mae,16.0,0.28,0.29,533,26,0.09792474809250672
316,mse,62.0,0.15,0.44,145,85,0.09674246744765756
317,mse,53.0,0.86,0.51,842,32,0.09567919537204826
318,mse,80.0,0.65,0.92,356,21,0.09524879874691757
319,mse,83.0,0.85,0.35,420,27,0.09604004338096547
320,mse,42.0,0.65,0.41,242,33,0.09590479100733425
321,mse,45.0,0.88,0.14,260,24,0.09680878903358348
322,mae,10.0,0.15,0.54,286,82,0.09856306687140558
323,mse,31.0,0.78,0.46,73,77,0.09539675407281503
324,mae,41.0,0.13,0.6,734,99,0.09693226383531386
325,mse,95.0,0.5,0.92,810,22,0.09704141531017188
326,mae,14.0,0.49,0.19,188,93,0.09558801299241883
327,mae,64.0,0.91,0.9,167,28,0.09687073608719396
328,mse,53.0,0.25,0.88,768,53,0.09661433331257546
329,mse,74.0,0.12,0.6,651,46,0.09774483376263526
330,mae,96.0,0.51,0.13,556,89,0.09623108455983775
331,mae,98.0,0.88,0.14,795,26,0.09658715101580513
332,mse,48.0,0.71,0.28,683,17,0.09641488328683395
333,mae,16.0,0.38,0.3,52,94,0.0955453149952338
334,mse,92.0,0.76,0.34,88,67,0.09636535589612884
335,mse,59.0,0.97,0.11,348,91,0.09531614265101629
336,mse,56.0,0.51,0.16,14,98,0.09639905358377256
337,mae,55.0,0.75,0.6,731,39,0.09552739158764106
338,mae,43.0,0.22,0.11,49,65,0.09530783391973431
339,mse,42.0,0.43,0.51,162,49,0.09633942558419109
340,mae,80.0,0.48,0.68,771,82,0.09686838558358431
341,mae,68.0,0.24,0.46,464,27,0.09572364017354965
342,mae,21.0,0.78,0.36,746,23,0.09494784697615259
343,mse,31.0,0.74,0.67,449,62,0.0978836187923123
344,mae,21.0,0.4,0.27,776,44,0.09676640293752757
345,mae,73.0,0.66,0.29,67,45,0.09642373817859427
346,mae,61.0,0.78,0.13,351,85,0.09457020209584964
347,mse,37.0,0.41,0.8,602,57,0.09754552034907096
348,mae,72.0,0.41,0.57,546,63,0.09778473394720463
349,mse,53.0,0.73,0.68,820,66,0.09561218530119495
350,mae,18.0,0.6,0.59,755,49,0.09707353972091362
351,mae,30.0,0.6,0.74,12,21,0.09676150100823737
352,mse,83.0,0.9,0.69,296,57,0.09552597673171569
353,mse,81.0,0.49,0.33,432,41,0.09571726338213445
354,mse,87.0,0.17,0.57,125,89,0.09782887252455054
355,mae,84.0,0.47,0.42,355,36,0.09617379579660516
356,mse,35.0,0.52,0.27,209,61,0.09456463612053667
357,mse,89.0,0.61,0.54,85,16,0.09554068376178886
358,mse,99.0,0.8,0.16,402,99,0.0946934947299718
359,mse,17.0,0.66,0.8,562,45,0.09575079656371759
360,mse,1.0,0.31,0.68,855,62,0.0975174775661403
361,mae,1.0,0.47,0.74,648,25,0.09643493962836702
362,mae,69.0,0.93,0.14,441,26,0.09702553771755835
363,mse,73.0,0.68,0.54,176,80,0.09727975573067016
364,mse,56.0,0.34,0.52,472,42,0.09636503866174238
365,mse,75.0,0.7,0.45,44,86,0.09422685594898045
366,mse,98.0,0.8,0.26,862,54,0.09496724036044792
367,mae,13.0,0.68,0.64,148,22,0.09759368481859959
368,mse,43.0,0.6,0.21,584,14,0.0966424227534456
369,mae,51.0,0.2,0.34,861,69,0.09732317316618704
370,mse,36.0,0.19,0.9,773,18,0.09551721440575976
371,mae,28.0,0.96,0.58,89,72,0.09558601000072414
372,mse,91.0,0.32,0.86,620,28,0.09679578658369636
373,mse,72.0,0.97,0.59,616,48,0.09548603417575426
374,mae,98.0,0.2,0.61,374,40,0.09675860896333842
375,mse,23.0,0.46,0.7,899,29,0.09673760843958873
376,mse,21.0,0.8,0.54,548,39,0.09588008307834661
377,mae,63.0,0.12,0.4,793,42,0.09713135246763707
378,mae,71.0,0.39,0.5,893,44,0.09594507194930867
379,mae,93.0,0.83,0.47,154,64,0.09704884844091646
380,mse,90.0,0.72,0.35,594,21,0.09566602387940507
381,mse,71.0,0.48,0.56,103,56,0.09519319189768864
382,mae,81.0,0.24,0.94,461,99,0.09684066172975919
